"OverallQual";"OverallCond";"YearRemodAdd";"MasVnrArea";"BsmtFinSF1";"TotalBsmtSF";"X1stFlrSF";"GrLivArea";"FullBath";"KitchenAbvGr";"TotRmsAbvGrd";"Fireplaces";"GarageYrBlt";"GarageCars";"GarageArea";"SalePrice"
7;5;5;196;706;856;856;1710;2;1;8;0;2003;2;548;208500
6;8;31;0;978;1262;1262;1262;2;1;6;1;1976;2;460;181500
7;5;6;162;486;920;920;1786;2;1;6;1;2001;2;608;223500
7;5;36;0;216;756;961;1717;1;1;7;1;1998;3;642;140000
8;5;8;350;655;1145;1145;2198;2;1;9;1;2000;3;836;250000
5;5;14;0;732;796;796;1362;1;1;5;0;1993;2;480;143000
8;5;2;186;1369;1686;1694;1694;2;1;7;1;2004;2;636;307000
7;6;36;240;859;1107;1107;2090;2;1;7;2;1973;2;484;200000
7;5;58;0;0;952;1022;1774;2;2;8;2;1931;2;468;129900
5;6;58;0;851;991;1077;1077;1;2;5;2;1939;1;205;118000
5;5;43;0;906;1040;1040;1040;1;1;5;0;1965;1;384;129500
9;5;0;286;998;1175;1182;2324;3;1;11;2;2005;3;736;345000
5;6;46;0;737;912;912;912;1;1;4;0;1962;1;352;144000
7;5;0;306;0;1494;1494;1494;2;1;7;1;2006;3;840;279500
6;5;48;212;733;1253;1253;1253;1;1;5;1;1960;1;352;157000
7;8;6;0;0;832;854;854;1;1;5;0;1991;2;576;132000
6;7;40;180;578;1004;1004;1004;1;1;5;1;1970;2;480;149000
4;5;39;0;0;0;1296;1296;2;2;6;0;1967;2;516;90000
5;5;4;0;646;1114;1114;1114;1;1;6;0;2004;2;576;159000
5;6;44;0;504;1029;1339;1339;1;1;6;0;1958;1;294;139000
8;5;0;380;0;1158;1158;2376;3;1;9;1;2005;3;853;325300
7;7;57;0;0;637;1108;1108;1;1;6;1;1930;1;280;139400
8;5;6;281;0;1777;1795;1795;2;1;7;1;2002;2;534;230000
5;7;31;0;840;1040;1060;1060;1;1;6;1;1976;2;572;129900
5;8;9;0;188;1060;1060;1060;1;1;6;1;1968;1;270;154000
8;5;2;640;0;1566;1600;1600;2;1;7;1;2007;3;890;256300
5;7;10;0;234;900;900;900;1;1;5;0;2005;2;576;134800
8;5;2;200;1218;1704;1704;1704;2;1;7;1;2008;3;772;306000
5;6;9;0;1277;1484;1600;1600;1;1;6;2;1957;1;319;207500
4;6;58;0;0;520;520;520;1;1;4;0;1920;1;240;68500
4;4;58;0;0;649;649;1317;1;1;6;0;1920;1;250;40000
5;6;2;0;0;1228;1228;1228;1;1;6;0;1966;1;271;149350
8;5;1;0;0;1234;1234;1234;2;1;7;0;2007;2;484;179900
5;5;51;0;1018;1398;1700;1700;1;1;6;1;1959;2;447;165500
9;5;2;246;1153;1561;1561;1561;2;1;6;1;2005;2;556;277500
8;5;1;132;0;1117;1132;2452;3;1;9;1;2004;3;691;309000
5;5;14;0;0;1097;1097;1097;1;1;6;0;1995;2;672;145000
5;6;19;650;1213;1297;1297;1297;1;1;5;1;1954;2;498;153000
5;7;3;0;731;1057;1057;1057;1;1;5;0;1953;1;246;109000
4;5;53;0;0;0;1152;1152;2;2;6;0;2003;0;0;82000
6;5;41;101;643;1088;1324;1324;2;1;6;1;1965;2;440;160000
5;6;48;0;967;1350;1328;1328;1;1;5;2;1959;1;308;170000
5;7;24;0;747;840;884;884;1;1;5;0;1983;2;504;144000
5;6;28;0;280;938;938;938;1;1;5;0;1977;1;308;130250
5;6;47;0;179;1150;1150;1150;1;1;6;0;1959;1;300;141000
9;5;5;412;456;1752;1752;1752;2;1;6;1;2005;2;576;319900
7;5;6;0;1351;1434;1518;2149;1;1;6;1;2003;2;670;239686
8;5;1;0;24;1656;1656;1656;2;1;7;0;2006;3;826;249700
4;5;1;0;0;736;736;1452;2;3;8;0;1941;0;0;113000
5;7;41;0;763;955;955;955;1;1;6;0;1966;1;386;127000
6;6;10;0;182;794;794;1470;2;1;6;0;1997;2;388;177000
6;6;56;0;0;816;816;1176;1;1;6;1;1985;2;528;114500
5;5;47;0;104;816;816;816;1;1;5;0;1963;2;516;110000
9;5;19;0;1810;1842;1842;1842;0;1;5;1;1981;3;894;385000
5;5;52;0;384;384;1360;1360;1;1;6;1;1962;2;572;130000
6;5;44;272;490;1425;1425;1425;2;1;7;1;1964;2;576;180500
8;5;9;456;649;970;983;1739;2;1;7;0;1999;2;480;172500
7;5;2;0;0;860;860;1720;2;1;7;0;2004;2;565;196500
10;5;0;1031;0;1410;1426;2945;3;1;10;1;2006;3;641;438780
5;7;36;0;632;780;780;780;1;1;4;0;1973;1;352;124900
6;5;2;0;941;1158;1158;1158;1;1;5;0;2006;2;576;158000
5;7;11;0;0;530;581;1111;1;1;6;0;1935;1;288;101000
8;5;1;178;24;1370;1370;1370;2;1;6;1;2006;2;484;202500
7;6;60;0;0;576;902;1710;2;1;9;0;1990;2;480;140000
7;5;11;573;739;1057;1057;2034;2;1;8;0;1998;2;645;219500
8;5;2;344;0;1143;1143;2473;2;1;9;1;2004;3;852;317000
7;5;21;287;912;1947;2207;2207;2;1;7;1;1970;2;576;180000
7;5;4;167;1013;1453;1479;1479;2;1;7;0;2003;2;558;226000
4;6;60;0;0;747;747;747;1;1;4;0;1945;1;220;80000
7;4;53;0;603;1304;1304;2287;2;1;7;1;1953;2;667;225000
7;6;34;1115;1880;2223;2223;2223;2;1;8;2;1973;2;516;244000
4;6;1;0;565;845;845;845;1;1;4;0;1987;2;360;129500
7;5;11;40;0;832;885;1718;2;1;7;1;1998;2;427;185000
5;7;7;104;320;1086;1086;1086;1;1;6;0;1989;2;490;144900
3;6;60;0;0;840;840;1605;2;2;8;0;1915;1;379;107400
4;5;36;0;462;462;526;988;1;1;5;0;1973;1;297;91000
4;7;52;0;228;952;952;952;1;1;4;0;1956;1;283;135750
5;5;7;0;336;672;1072;1285;1;1;6;0;1948;1;240;127000
4;5;42;0;0;1768;1768;1768;2;2;8;0;1940;0;0;136500
5;6;28;0;0;440;682;1230;1;1;5;0;1966;2;440;110000
6;6;41;576;448;896;1182;2142;2;1;8;1;1968;1;509;193500
6;5;8;443;1201;1237;1337;1337;2;1;5;0;1998;2;405;153500
8;5;1;468;33;1563;1563;1563;2;1;6;1;2007;3;758;245000
5;5;47;66;0;1065;1065;1065;1;1;6;0;1974;2;461;126500
7;5;13;22;0;384;804;1474;2;1;7;1;1995;2;400;168500
8;5;14;284;0;1288;1301;2417;2;1;9;1;1991;2;462;260000
6;5;4;0;0;684;684;1560;2;1;6;1;2005;2;400;174000
6;5;0;76;0;612;612;1224;2;1;4;0;2009;2;528;164500
3;2;27;0;0;1013;1013;1526;1;1;6;0;1962;0;0;85000
4;5;12;0;588;990;990;990;1;1;5;0;1964;0;0;123600
4;5;56;0;0;0;1040;1040;1;1;4;0;1950;2;420;109900
5;3;45;203;600;1235;1235;1235;1;1;6;0;1961;2;480;98600
5;7;3;0;713;876;964;964;1;1;5;0;1921;2;432;163500
6;6;9;0;1046;1214;1260;2291;2;2;9;1;1900;2;506;133900
6;5;10;0;648;824;905;1786;2;1;7;0;1997;2;684;204750
6;8;16;68;310;680;680;1470;2;1;6;1;1993;2;420;185000
7;5;7;183;1162;1588;1588;1588;2;1;6;0;1999;2;472;214000
4;5;42;48;520;960;960;960;1;1;6;0;1965;1;432;94750
5;5;60;0;108;458;835;835;1;1;5;0;1920;1;366;83000
4;5;51;0;569;950;1225;1225;1;1;6;0;1916;0;0;128950
6;7;9;28;1200;1610;1610;1610;2;1;6;2;1977;2;480;205000
6;5;25;336;0;741;977;1732;2;1;7;1;1985;2;476;178000
5;5;30;0;0;0;1535;1535;2;2;8;0;1979;2;410;118964
7;5;1;0;0;1226;1226;1226;2;1;6;0;2009;3;740;198900
7;4;57;600;224;1040;1226;1818;1;1;7;2;1951;1;240;169500
8;5;4;768;0;1053;1053;1992;2;1;9;1;2003;2;648;250000
4;7;12;0;0;641;1047;1047;1;1;6;0;1954;1;273;100000
5;5;58;0;104;789;789;789;1;1;5;0;1948;1;250;115000
5;7;2;0;0;793;997;1517;2;1;7;0;1982;0;0;115000
6;6;33;480;705;1844;1844;1844;2;1;7;1;1977;2;546;190000
6;4;34;0;444;994;1216;1855;2;1;7;0;1954;1;325;136900
7;5;10;0;250;384;774;1430;2;1;7;1;2000;2;400;180000
7;5;0;220;984;1264;1282;2696;2;1;10;1;2007;3;792;383970
6;5;54;184;35;1809;2259;2259;2;1;7;2;1953;2;450;217000
6;8;5;0;774;1028;1436;2320;2;1;9;1;1945;1;180;259500
6;5;8;1129;419;729;729;1458;2;1;5;1;1999;2;440;176000
5;5;47;116;170;1092;1092;1092;1;1;6;1;1962;1;288;139000
5;5;0;0;0;1125;1125;1125;1;1;5;0;2007;2;430;155000
7;5;20;0;1470;1673;1699;3222;3;1;11;2;1990;3;594;320000
6;5;0;0;0;728;728;1456;2;1;8;1;2005;2;390;163990
6;5;37;0;938;938;988;988;1;1;4;2;1969;2;540;180000
4;5;57;0;0;732;772;1123;1;1;4;0;1979;1;264;100000
6;7;50;135;570;1080;1080;1080;1;1;5;0;1958;1;288;136000
6;5;15;0;300;1199;1199;1199;2;1;5;0;1993;2;530;153900
6;5;11;0;0;1362;1586;1586;2;1;7;1;1979;2;435;181000
6;8;24;0;490;520;520;754;1;1;5;0;2002;0;0;84500
6;5;31;0;120;1078;958;958;2;1;5;1;1977;2;440;128000
5;7;57;0;116;672;840;840;1;1;5;1;1954;0;0;87000
6;5;40;266;512;660;660;1348;1;1;6;1;1966;2;453;155000
5;7;15;85;567;1008;1053;1053;1;1;6;0;1998;2;750;150000
7;6;40;309;445;924;1216;2157;2;1;8;2;1966;2;487;226000
6;5;9;40;695;992;1022;2054;2;1;7;1;2000;2;390;244000
5;6;5;0;405;1063;1327;1327;1;1;7;0;1974;2;624;150750
8;5;7;136;1005;1267;1296;1296;2;1;6;0;2001;2;471;220000
5;6;13;0;570;1461;1721;1721;2;1;7;1;1968;2;440;180000
7;6;38;288;0;1304;1682;1682;2;1;7;1;1970;2;530;174000
5;5;40;196;695;1214;1214;1214;2;1;5;1;1967;1;318;143000
7;5;17;70;0;1907;1959;1959;3;2;9;0;1989;3;766;171000
8;5;8;320;668;1004;1004;1852;2;1;7;2;1999;3;660;230000
6;5;12;0;821;928;928;1764;2;1;7;0;1997;2;470;231500
4;5;39;0;432;864;864;864;1;1;5;1;1920;0;0;115000
7;5;1;0;1300;1734;1734;1734;2;1;7;0;2005;2;660;260000
5;4;58;0;507;910;910;1385;2;1;6;0;2000;2;720;166000
7;5;10;183;679;1490;1501;1501;2;1;6;0;1999;2;577;204000
5;5;43;336;1332;1728;1728;1728;2;2;10;0;1963;2;504;125000
6;5;0;50;0;970;970;1709;2;1;7;0;2004;2;380;130000
5;7;16;0;209;715;875;875;1;1;5;0;1931;1;180;105000
7;5;9;180;0;884;884;2035;2;1;8;1;2001;2;434;222500
7;5;3;120;680;1080;1080;1080;1;1;6;0;1976;0;0;141000
5;4;56;0;0;896;896;1344;1;1;7;0;1936;1;240;115000
5;6;32;0;716;969;969;969;1;1;5;0;1975;2;440;122000
8;5;0;436;1400;1710;1710;1710;2;1;6;1;2007;3;866;372402
6;5;35;252;416;825;1097;1993;2;1;8;1;1971;2;495;190000
6;7;33;0;429;1602;1252;1252;1;1;4;1;1960;2;564;235000
6;5;56;0;0;1200;1200;1200;1;1;7;0;1923;1;312;125000
6;5;58;0;0;572;572;1096;1;1;5;0;1916;0;0;79000
5;7;56;0;0;0;1040;1040;1;1;5;0;1950;2;625;109500
8;5;0;84;0;774;774;1968;2;1;8;1;2009;3;680;269500
7;5;5;0;222;991;991;1947;2;1;8;1;2004;2;678;254900
7;5;0;456;57;1392;1392;2462;2;1;9;1;2006;2;576;320000
6;6;24;0;660;1232;1232;1232;2;1;6;0;1984;2;516;162500
9;5;4;664;1016;1572;1572;2668;2;1;10;2;2003;3;726;412500
7;5;5;226;1201;1541;1541;1541;2;1;7;1;2005;2;532;220000
4;6;51;0;0;882;882;882;1;1;4;0;1930;0;0;103200
6;7;3;0;370;1149;1149;1616;2;1;5;0;1926;1;216;152000
5;7;9;0;351;644;808;1355;2;2;6;0;1940;0;0;127500
5;5;16;0;379;1617;1867;1867;1;1;7;3;1955;1;303;190000
8;5;0;300;1288;1582;1610;2161;1;1;8;1;2007;3;789;325624
7;5;3;0;0;840;840;1720;2;1;7;1;2004;2;440;183500
8;6;25;653;0;1686;1707;1707;2;1;6;1;1981;2;511;228000
5;6;57;0;360;720;854;1382;1;1;7;0;1991;2;660;128500
6;5;50;112;639;1080;1656;1656;1;1;7;2;1960;2;528;215000
7;7;19;0;495;1064;1064;1767;2;1;5;1;1987;2;504;239000
6;5;47;491;288;1362;1362;1362;1;1;6;1;1961;2;504;163000
6;5;22;132;1398;1606;1651;1651;2;1;7;1;1986;2;616;184000
6;7;6;0;477;1202;2158;2158;2;1;7;1;1950;2;576;243000
6;5;18;268;831;1151;1164;2060;2;1;8;1;1988;2;521;211000
5;5;48;0;57;1052;1252;1920;2;1;8;1;1958;2;451;172500
9;5;0;748;1904;2216;2234;2234;2;1;9;1;2009;3;1166;501837
5;6;1;0;0;968;968;968;1;1;5;0;1935;2;480;100000
6;5;7;456;436;756;769;1525;2;1;5;1;2000;2;440;177000
7;6;56;0;352;793;901;1802;1;1;9;1;1920;1;216;200100
5;6;1;98;0;0;1340;1340;1;1;7;1;1957;1;252;120000
7;5;5;0;0;1362;1362;2082;2;1;6;0;2003;2;484;200000
5;8;15;0;0;504;936;1252;1;1;5;0;1986;2;576;127000
10;9;13;0;0;1107;1518;3608;2;1;12;2;1993;3;840;475000
7;5;18;0;611;1188;1217;1217;2;1;6;0;1990;2;497;173000
5;7;22;0;0;660;808;1656;2;1;8;0;1916;1;180;135000
5;5;30;275;1086;1086;1224;1224;0;2;6;2;1979;2;528;153337
8;5;6;0;1153;1593;1593;1593;1;1;5;1;2001;2;682;286000
8;8;13;0;297;853;1549;2727;2;1;10;2;1932;2;440;315000
7;9;3;138;626;725;725;1479;1;1;7;0;1972;2;484;184000
7;5;10;0;560;1431;1431;1431;2;1;6;0;1999;2;666;192000
7;5;2;50;0;970;970;1709;2;1;7;0;2004;2;380;130000
5;7;36;0;390;864;864;864;1;1;5;0;1989;1;352;127000
6;6;33;0;566;855;855;1456;2;1;7;1;1976;2;440;148500
7;5;0;205;1126;1726;1726;1726;2;1;8;1;2007;3;786;311872
8;4;16;0;1036;1360;1360;3112;2;1;8;1;1918;2;795;235000
6;6;59;0;0;755;929;2229;1;1;8;0;1938;0;0;104000
8;5;4;262;1088;1713;1713;1713;2;1;7;1;2004;3;856;274900
4;5;6;0;0;1121;1121;1121;2;1;5;0;2003;2;440;140000
6;6;31;0;641;1196;1279;1279;2;1;6;2;1980;2;473;171500
6;6;56;0;617;617;865;1310;2;1;6;0;1924;1;398;112000
6;5;4;205;662;848;848;848;1;1;3;1;2004;2;420;149000
5;7;59;0;312;720;720;1284;1;1;5;0;1948;1;240;110000
7;5;19;0;0;1424;1442;1442;2;1;5;0;1990;2;500;180500
5;5;45;0;0;1140;1696;1696;1;1;8;1;1962;1;349;143900
4;5;48;0;419;1100;1100;1100;1;1;6;1;1960;1;312;141000
7;5;18;128;1065;1157;1180;2062;2;1;7;1;1988;2;454;277000
6;7;44;260;787;1092;1092;1092;1;1;6;0;1964;2;504;145000
5;6;58;0;468;864;864;864;1;1;5;0;1978;0;0;98000
6;5;1;0;36;1212;1212;1212;2;1;6;0;2009;2;460;186000
7;5;0;0;822;900;932;1852;2;1;7;1;2009;2;644;252678
5;5;11;0;716;990;990;990;1;1;5;0;1996;2;576;156000
6;7;33;153;378;689;689;1392;1;1;6;0;1977;1;299;161750
5;6;10;64;360;1070;1236;1236;1;1;6;1;1957;1;447;134450
7;5;4;266;946;1436;1436;1436;2;1;8;0;2004;2;484;210000
4;4;56;0;0;686;810;1328;1;1;8;0;1940;1;210;107000
7;9;2;312;341;798;1137;1954;1;1;8;2;1939;2;431;311500
7;5;0;16;16;1248;1248;1248;2;1;5;0;2005;2;438;167240
7;5;0;0;0;1498;1498;1498;2;1;5;0;2006;2;675;204900
6;5;7;0;0;1010;1010;2267;2;1;8;1;2002;2;390;200000
6;6;31;0;550;713;811;1552;2;1;6;1;1975;2;434;179900
4;6;38;0;524;864;864;864;1;1;4;0;1989;2;576;97000
10;5;6;922;56;2392;2392;2392;2;1;8;1;2003;3;968;386250
5;5;38;142;0;630;630;1302;2;1;6;0;1991;1;280;112000
7;5;12;290;565;1203;1214;2520;2;1;9;1;1995;3;721;290000
6;6;38;127;321;483;483;987;1;1;5;0;1987;1;280;106000
5;5;43;0;842;912;912;912;1;1;5;1;1974;1;336;125000
7;5;3;16;16;1373;1555;1555;2;1;7;1;2005;2;430;192500
6;6;51;220;0;1194;1194;1194;1;1;6;0;1959;1;312;148000
8;5;13;506;689;1462;1490;2794;2;1;9;1;1995;3;810;403000
6;5;34;297;0;483;483;987;1;1;5;1;1972;1;288;94500
5;6;34;0;182;894;894;894;1;1;5;0;1976;1;308;128200
6;5;8;0;625;860;860;1960;2;1;8;2;2002;2;440;216500
6;3;37;604;358;483;483;987;1;1;5;0;1971;1;264;89500
7;5;6;98;24;1414;1414;1414;2;1;6;0;2004;2;494;185500
7;7;7;0;402;996;1014;1744;2;1;7;0;1993;2;457;194500
8;5;0;254;0;1694;1694;1694;2;1;7;0;2007;3;818;318000
6;4;60;0;94;735;798;1487;1;1;7;1;1949;1;220;113000
8;5;2;36;1078;1566;1566;1566;2;1;7;0;2008;2;750;262500
5;9;10;0;329;686;866;866;1;1;4;0;1925;0;0;110500
5;4;56;0;0;540;889;1440;1;1;6;0;1940;1;352;79000
6;6;29;0;0;626;626;1217;1;1;6;1;1980;1;288;120000
7;5;8;0;695;948;1222;2110;2;1;8;2;1994;2;463;205000
7;5;18;102;929;1845;1872;1872;2;1;6;1;1988;2;604;241500
6;8;56;0;0;1020;908;1928;2;2;9;0;1910;1;440;137000
6;5;52;0;0;1367;1375;1375;1;1;5;1;1954;2;451;140000
7;5;4;101;0;840;840;1668;2;1;8;0;2003;2;500;180000
6;7;1;472;697;1444;1444;2144;2;1;7;2;1958;2;389;277000
3;2;44;0;0;728;1306;1306;1;1;6;0;1940;0;0;76500
8;5;0;481;1573;1573;1625;1625;2;1;5;1;2006;2;538;235000
6;5;4;0;0;798;798;1640;2;1;6;0;2004;2;520;173000
6;7;16;108;270;1302;1302;1302;2;1;7;0;1964;1;309;158000
5;6;53;0;922;1314;1314;1314;1;1;5;0;1957;1;294;145000
7;5;7;302;0;975;1005;2291;2;1;8;1;1999;2;429;230000
6;5;5;0;503;864;864;1728;2;1;7;0;2003;2;673;207500
7;5;3;180;1334;1604;1604;1604;2;1;8;1;2006;2;660;220000
7;5;7;172;361;963;963;1792;2;1;7;1;2001;2;564;231500
5;5;52;0;0;0;882;882;1;1;4;0;1956;1;308;97000
6;5;47;399;672;1362;1382;1382;1;1;6;1;1991;2;884;176000
8;5;0;270;0;1482;1482;2574;2;1;10;1;2007;3;868;276000
6;7;11;46;506;506;1212;1212;1;1;6;1;1978;2;492;151000
5;7;9;0;234;926;926;1316;1;1;6;0;1974;2;484;130000
5;5;4;0;0;680;764;764;1;1;4;0;1965;2;504;73000
6;6;27;210;588;1422;1422;1422;2;1;7;1;1981;2;576;175500
6;5;9;0;714;802;802;1511;2;1;8;1;1997;2;413;185000
5;8;11;0;378;720;1052;2192;2;1;8;1;1939;1;240;179500
5;6;53;0;403;740;778;778;1;1;4;1;1966;1;924;120500
6;7;31;174;751;1143;1113;1113;1;1;6;1;1987;1;504;148000
8;5;0;0;0;1095;1095;1939;2;1;8;1;2006;3;1053;266000
7;7;3;0;226;1385;1363;1363;1;1;5;2;1954;2;439;241500
8;7;3;348;524;1152;1164;2270;2;1;9;1;1999;3;671;290000
6;6;21;183;620;1240;1632;1632;2;1;6;1;1958;1;338;139000
5;7;25;0;546;816;816;816;1;1;5;0;1982;1;264;124500
7;7;2;0;0;952;952;1548;2;1;5;0;1978;2;672;205000
7;5;7;0;0;1560;1560;1560;2;1;7;0;2003;2;573;201000
4;5;59;0;120;864;864;864;1;1;4;0;1951;2;400;141000
9;5;0;315;0;2121;2121;2121;2;1;8;1;2007;3;732;415298
7;5;31;299;392;1160;1156;2022;2;1;8;1;1977;2;505;192000
7;6;18;340;421;807;1175;1982;2;1;7;1;1989;2;575;228500
6;5;0;68;905;1262;1262;1262;2;1;5;0;2006;2;572;185000
7;5;1;166;904;1314;1314;1314;2;1;6;1;2008;2;626;207500
8;5;0;72;0;1468;1468;1468;2;1;6;1;2008;3;898;244600
6;5;15;0;430;1575;1575;1575;2;1;5;0;1992;2;529;179200
7;5;0;0;0;625;625;1250;2;1;5;0;2006;2;528;164700
6;7;25;0;600;912;1085;1734;1;1;7;1;1962;2;440;159000
4;4;35;0;614;858;858;858;1;1;5;0;1957;0;0;88000
5;5;43;31;450;882;900;900;1;1;5;0;1970;1;280;122000
6;7;4;0;0;698;698;1396;1;1;7;0;2003;1;384;153575
8;5;0;0;0;1079;1079;1919;2;1;8;1;2006;2;685;233230
5;6;8;0;210;780;936;1716;2;1;9;0;1906;0;0;135900
5;4;1;0;292;768;1148;1716;1;1;8;1;1949;1;281;131000
7;7;12;34;795;795;1468;2263;2;1;9;1;1977;2;539;235000
6;5;56;238;1285;1416;1644;1644;1;1;7;2;1953;2;418;167000
6;6;22;0;819;1003;1003;1003;1;1;6;0;1984;2;588;142500
5;5;57;0;420;910;910;1558;1;1;6;0;1950;1;282;152000
7;5;9;1600;649;975;975;1950;2;1;7;1;1997;2;576;239000
6;6;39;365;384;702;1041;1743;1;1;7;1;1968;2;539;175000
6;8;5;0;0;1092;1152;1152;1;1;6;1;1950;1;300;158500
5;5;53;56;841;1165;1336;1336;1;1;5;2;1953;1;375;157000
8;5;8;0;281;1028;1210;2452;2;1;9;1;1998;2;683;267000
7;5;4;150;0;1541;1541;1541;2;1;6;1;2001;3;843;205000
5;7;34;0;894;894;894;894;1;1;5;0;1975;2;552;149900
7;9;6;0;0;1470;1675;3493;3;1;10;1;2003;3;870;295000
8;5;2;246;1464;2000;2000;2000;2;1;8;0;2004;3;888;305900
7;5;16;246;700;700;1122;2243;2;1;8;1;1990;3;746;225000
6;7;58;0;0;319;1035;1406;1;1;6;0;1954;0;0;89500
4;5;59;0;262;861;861;861;1;1;4;0;1961;2;539;82500
9;5;2;0;1274;1896;1944;1944;2;1;8;3;2003;3;708;360000
6;5;12;112;518;697;697;1501;2;1;6;1;1993;2;420;165600
6;6;7;0;680;972;972;972;1;1;5;1;1948;1;240;132000
5;7;56;0;507;793;793;1118;1;1;5;1;1939;2;410;119900
7;5;44;0;1236;2136;2036;2036;2;1;8;2;1965;2;513;375000
7;7;16;0;16;728;832;1641;1;1;6;1;1925;2;546;178000
7;5;4;0;425;716;716;1432;2;1;6;1;2004;2;432;188500
7;7;29;278;692;845;1153;2353;2;1;10;1;1983;2;484;260000
8;5;1;0;0;1088;1088;1959;2;1;8;1;2006;3;1025;270000
7;5;16;256;987;1347;1372;2646;2;1;9;1;1993;3;656;260000
7;5;29;225;1036;1372;1472;1472;2;1;6;2;1980;2;588;187500
9;5;0;370;0;1249;1249;2596;3;1;9;0;2006;3;840;342643
8;5;3;388;970;1136;1136;2468;2;1;10;1;2004;3;872;354000
7;5;20;172;28;1502;1553;2730;2;1;8;1;1987;2;576;301000
3;8;1;0;256;1162;1163;1163;1;1;6;0;1955;1;220;126175
7;7;3;300;0;710;1898;2978;2;1;11;1;1961;2;564;242000
5;6;57;0;116;720;803;803;1;1;5;0;1941;2;360;87000
8;5;15;0;1619;1719;1719;1719;1;1;6;2;1993;2;473;324000
6;5;46;175;565;1383;1383;1383;1;1;7;0;1960;1;292;145250
6;6;15;0;0;844;1445;2134;2;1;10;0;1930;2;441;214500
5;5;59;0;0;596;596;1192;1;1;6;0;1920;1;189;78000
5;4;43;84;40;1728;1728;1728;2;2;10;0;2002;1;352;119000
5;6;15;0;846;1056;1056;1056;1;1;6;0;1958;1;308;139000
8;5;5;296;1124;3206;1629;1629;2;1;7;1;2003;3;880;284000
7;5;4;146;720;1358;1358;1358;2;1;6;1;2004;2;484;207000
6;5;10;0;828;943;943;1638;2;1;7;2;1998;2;472;192000
5;6;43;0;1249;1499;1619;1786;2;1;7;2;1965;2;529;228950
9;5;1;200;1249;1922;1922;1922;2;1;8;1;2005;3;676;377426
7;5;5;113;810;1536;1536;1536;2;1;7;0;2002;2;532;214000
7;7;8;0;213;1208;1621;1621;2;1;8;0;1984;2;440;202500
6;7;11;176;585;1215;1215;1215;1;1;6;0;1958;1;297;155000
8;5;8;0;0;967;993;1908;2;1;9;0;2002;2;431;202900
4;4;59;0;0;721;841;841;1;1;4;0;1950;1;294;82000
3;4;56;340;0;0;1040;1040;2;2;6;0;1949;2;400;87500
9;5;3;616;28;1684;1684;1684;2;1;6;1;2005;2;564;266000
5;3;34;0;129;536;536;1112;1;1;4;0;1976;1;336;85000
6;5;56;0;0;972;972;1577;1;1;6;1;1939;1;312;140200
6;8;9;0;498;958;958;958;1;1;5;0;1960;1;301;151500
6;5;49;30;1270;1478;1478;1478;2;1;6;2;1960;2;498;157500
7;5;4;106;573;764;764;1626;2;1;6;0;2003;2;474;154000
9;5;0;870;1410;1848;1848;2728;2;1;10;2;2006;3;706;437154
9;5;0;362;0;1869;1869;1869;2;1;6;1;2007;2;617;318061
7;5;20;0;1082;1453;1453;1453;1;1;6;1;1986;2;445;190000
5;6;58;0;236;616;616;1111;1;1;5;0;1941;1;200;95000
6;8;7;0;0;624;720;720;1;1;5;0;2005;2;484;105900
6;5;6;0;388;940;1192;1595;1;1;6;2;1940;1;240;140000
6;5;12;0;334;1200;1200;1200;2;1;6;0;1995;2;521;177500
6;6;17;106;560;1158;1167;1167;2;1;6;0;1992;2;400;173000
5;5;31;0;874;1142;1142;1142;1;1;6;1;1976;2;528;134000
5;4;48;120;300;1062;1352;1352;1;1;6;0;1958;1;288;130000
8;5;8;530;956;1086;1086;1924;2;1;7;1;1998;2;592;280000
