"OverallQual";"OverallCond";"YearRemodAdd";"MasVnrArea";"BsmtFinSF1";"TotalBsmtSF";"X1stFlrSF";"GrLivArea";"FullBath";"KitchenAbvGr";"TotRmsAbvGrd";"Fireplaces";"GarageYrBlt";"GarageCars";"GarageArea";"SalePrice"
6;6;29;0;773;888;912;912;1;1;5;1;1978;2;470;156000
5;5;26;0;399;883;988;1505;1;1;8;0;1940;1;240;145000
7;5;6;500;0;0;495;1922;3;1;7;1;2003;2;672;198500
6;8;2;510;162;483;483;987;1;1;5;0;1972;1;264;118000
6;5;30;120;712;796;790;1574;2;1;6;1;1976;2;566;190000
5;7;12;0;456;672;672;1344;1;1;6;0;1964;1;468;147000
6;5;46;247;609;1394;1394;1394;1;1;6;2;1963;2;514;159000
6;5;46;305;371;1099;1431;1431;1;1;6;1;1962;1;296;165000
5;6;56;200;540;1268;1268;1268;1;1;7;1;1954;1;244;132000
5;7;4;0;72;1063;1287;1287;1;1;7;1;1997;2;576;162000
6;5;6;0;0;953;953;1664;2;1;7;1;2000;2;460;172400
4;4;49;0;0;0;1120;1588;2;1;7;1;1991;2;680;134432
6;5;26;0;623;744;752;752;1;1;4;0;1984;1;264;125000
5;6;56;0;428;608;1319;1319;1;1;5;0;1953;1;270;123000
7;5;3;0;0;847;847;1928;2;1;8;1;2003;2;434;219500
1;1;59;0;350;683;904;904;0;1;4;0;1916;0;0;61000
5;5;10;0;298;870;914;914;1;1;5;0;1998;2;576;148000
8;5;2;0;0;1580;1580;2466;3;1;8;1;2004;2;610;340000
9;2;0;350;1445;1856;1856;1856;1;1;8;1;2010;3;834;394432
6;5;9;16;0;982;1007;1800;2;1;7;1;2000;2;463;179000
5;6;60;0;218;1026;1026;1691;2;1;6;1;1924;1;308;127000
7;5;0;0;0;1293;1301;1301;2;1;5;1;2006;2;572;187750
7;5;1;0;0;939;939;1797;2;1;8;0;2006;2;639;213500
6;3;59;0;0;784;784;784;1;1;5;0;1950;2;360;76000
6;5;15;0;985;1580;1079;1953;2;1;9;2;1992;2;501;240000
8;5;5;16;24;1256;1269;1269;2;1;6;1;2004;2;430;192000
5;3;10;0;0;658;658;1184;1;1;8;0;1930;0;0;81000
6;6;33;255;631;1041;1125;1125;1;1;6;1;1977;1;352;125000
7;5;8;125;0;1468;1479;1479;2;1;6;0;1999;2;577;191000
10;5;0;272;1280;1682;1742;2332;2;1;9;1;2008;3;846;426000
5;8;58;0;241;861;961;1367;1;1;7;0;1978;1;384;119000
6;5;7;0;690;804;804;1961;2;1;7;1;2001;2;560;215000
5;7;48;0;0;0;882;882;1;1;5;0;1959;1;294;106500
4;5;56;0;266;788;788;788;1;1;4;2;1916;0;0;100000
5;6;57;0;0;735;735;1034;1;1;5;0;1940;1;240;109000
5;6;54;0;739;1144;1144;1144;1;1;6;0;1956;1;596;129000
5;5;37;0;777;894;894;894;1;1;6;0;1985;2;600;123000
5;5;45;288;540;864;876;1812;2;1;8;1;1962;1;264;169500
5;2;57;0;0;961;1077;1077;1;1;6;0;1920;1;338;67000
7;5;2;100;812;1092;1112;1550;2;1;7;0;2007;2;438;241000
8;5;12;0;786;1260;1288;1288;1;1;4;2;1996;2;500;245500
7;5;1;0;24;1310;1310;1310;2;1;6;1;2005;2;400;164990
5;8;11;0;0;672;672;672;1;1;4;0;1940;1;240;108000
8;5;8;650;0;1141;1165;2263;2;1;10;1;1998;2;420;258000
6;5;11;0;0;806;806;1572;2;1;7;1;1995;2;373;168000
4;4;16;0;1116;1281;1620;1620;2;1;8;1;1993;2;490;150000
6;5;58;0;0;1064;1166;1639;1;1;6;0;1936;1;240;115000
6;7;32;0;0;840;840;1680;2;1;8;0;1960;1;308;177000
7;5;1;350;0;1063;1071;2172;2;1;9;1;2006;3;947;280000
8;5;0;100;789;1034;1050;2078;2;1;8;1;2008;3;836;339750
5;3;51;0;0;1276;1276;1276;1;1;5;0;1958;1;350;60000
5;5;51;0;1056;1056;1056;1056;1;1;5;0;1955;2;572;145000
7;5;1;432;578;1470;1478;1478;2;1;7;1;2009;2;484;222000
5;6;60;0;0;1008;1028;1028;1;1;5;1;1927;2;360;115000
7;5;15;0;50;1080;1080;2097;2;1;9;1;1993;3;678;228000
7;5;0;0;24;1340;1340;1340;2;1;6;0;2007;2;396;181134
6;7;28;203;209;672;672;1400;1;1;6;1;1978;2;440;149500
6;6;57;0;1128;1370;1370;2624;2;1;10;1;1918;3;864;239000
5;6;57;0;312;756;756;1134;1;1;7;0;1940;1;240;126000
5;6;42;0;775;1056;1056;1056;1;1;6;1;1968;1;304;142000
7;5;10;200;1309;1344;1344;1344;2;2;8;0;1997;4;784;206300
6;7;9;126;1246;1602;1602;1602;2;1;8;1;1977;2;529;215000
5;5;54;0;0;988;988;988;1;1;4;0;1954;2;520;113000
8;5;10;473;986;1470;1470;2630;2;1;8;1;1998;3;696;315000
6;5;52;74;616;1196;1196;1196;1;1;6;1;1956;1;297;139000
7;8;17;0;0;651;707;1389;1;1;6;2;1947;1;240;135000
7;5;20;145;1518;1518;1644;1644;2;1;5;1;1989;2;569;275000
4;6;51;0;288;907;907;907;1;1;5;0;1964;1;352;109008
7;5;0;108;664;1208;1208;1208;2;1;6;0;2007;2;628;195400
6;5;21;0;1005;1392;1412;1412;2;1;6;1;1988;2;576;175000
6;5;37;232;387;483;483;987;1;1;4;0;1971;1;264;85400
6;7;10;0;0;901;1088;1198;1;1;7;0;1925;0;0;79900
5;5;36;376;471;765;765;1365;1;1;6;0;1971;2;440;122500
6;5;10;0;0;926;926;1604;2;1;7;1;1997;2;470;181000
4;7;36;0;495;630;630;630;1;1;3;0;1964;0;0;81000
7;6;13;0;385;799;827;1661;2;1;6;1;1996;2;550;212000
6;8;56;0;0;648;734;1118;1;1;6;0;1990;2;440;116000
6;7;5;0;0;884;904;904;1;1;4;0;1926;1;180;119000
5;6;5;0;365;440;694;694;1;1;4;1;1990;1;352;90350
6;8;9;0;0;684;684;1196;1;1;7;0;2005;2;528;110000
10;5;1;200;1767;3094;2402;2402;2;1;10;2;2008;3;672;555000
4;4;53;270;133;1440;1440;1440;2;2;8;0;1960;0;0;118000
5;7;16;0;0;1078;1128;1573;2;1;8;1;1930;2;360;162900
7;5;0;72;0;1258;1258;1258;2;1;6;1;2007;3;648;172500
7;5;13;0;642;915;933;1908;2;1;8;1;1994;2;493;210000
6;5;53;0;0;1436;1689;1689;1;1;7;1;1956;2;480;127500
6;6;8;0;247;1517;1888;1888;2;1;6;1;1966;2;578;190000
7;5;7;0;0;930;956;1886;2;1;10;1;1998;2;431;199900
6;6;56;0;0;780;780;1376;2;1;7;1;1937;1;198;119500
3;7;5;0;331;649;679;1183;1;1;6;0;1981;1;308;120000
6;8;1;0;0;813;813;813;1;1;5;0;1932;1;270;110000
7;5;31;0;655;1533;1533;1533;2;1;5;2;1975;2;576;280000
6;5;10;42;742;872;888;1756;2;1;7;0;1996;2;422;204000
8;5;1;0;0;768;786;1590;2;1;6;0;2008;2;676;210000
5;5;30;0;1606;1728;1728;1728;2;2;8;0;1976;2;560;188000
7;6;34;320;916;1242;1242;1242;1;1;6;1;1973;2;528;175500
5;5;58;0;0;624;624;1344;1;1;7;0;1916;3;513;98000
4;6;14;0;1116;1364;1663;1663;1;1;6;2;1954;2;529;256000
8;7;12;0;0;588;833;1666;1;1;7;1;1925;1;228;161000
5;4;59;161;185;709;979;1203;1;1;5;1;1950;1;352;110000
8;5;0;110;544;832;832;1935;2;1;8;0;2009;2;552;263435
7;9;2;0;350;560;575;1135;1;1;6;0;1971;2;576;155000
5;5;44;0;553;864;864;864;1;1;5;1;1965;1;360;62383
6;7;13;0;326;715;849;1660;1;1;6;1;1939;1;240;188700
5;5;31;136;616;1040;1040;1040;2;1;5;0;1963;0;0;124000
7;5;2;18;0;1375;1414;1414;2;1;6;1;2004;2;398;178740
7;5;37;0;778;1277;1277;1277;1;1;5;1;1970;2;526;167000
5;7;12;224;386;728;888;1644;1;1;7;2;1942;1;312;146500
8;5;1;248;0;1626;1634;1634;2;1;7;1;2006;3;866;250000
6;5;15;120;426;832;832;1710;2;1;7;0;1993;2;506;187000
8;5;25;0;368;1488;1502;1502;1;1;4;0;1985;2;528;212000
7;6;30;0;0;808;1161;1969;2;1;8;1;1977;2;534;190000
6;5;3;80;459;547;1072;1072;1;1;5;0;2005;2;525;148000
8;5;0;304;1350;1976;1976;1976;2;1;7;1;2006;3;908;440000
8;5;7;0;1196;1494;1652;1652;2;1;6;0;2000;2;499;251000
5;6;44;0;630;970;970;970;1;1;5;0;1996;2;624;132500
6;5;10;215;994;1478;1493;1493;2;1;7;1;1997;2;508;208900
9;5;1;772;0;2153;2069;2643;2;1;9;1;2006;3;694;380000
8;5;1;336;1288;1705;1718;1718;2;1;7;1;2007;3;826;297000
4;7;7;435;168;907;1131;1131;1;1;7;0;1995;2;672;89471
9;5;1;378;1261;1833;1850;1850;2;1;8;1;2004;3;772;326000
9;5;2;562;1567;1792;1792;1792;2;1;6;1;2003;3;874;374000
7;8;4;0;299;910;916;1826;1;1;7;1;1915;1;164;155000
6;5;8;116;897;1216;1216;1216;2;1;5;0;1998;2;402;164000
5;7;6;0;588;999;999;999;1;1;6;0;1963;1;264;132500
5;7;2;0;607;1113;1113;1113;1;1;5;1;1950;1;264;147000
5;7;42;168;836;1073;1073;1073;1;1;6;0;1965;2;515;156000
5;6;36;0;998;1484;1484;1484;2;1;7;1;1971;2;487;175000
5;4;36;0;664;954;1766;2414;2;2;10;1;1970;2;520;160000
4;8;7;0;515;630;630;630;1;1;3;0;1970;1;286;86000
5;6;32;0;0;264;616;1304;1;1;4;1;1976;1;336;115000
6;7;56;0;403;806;958;1578;1;1;5;2;1941;1;240;133000
6;5;0;0;0;728;728;1456;2;1;8;0;2006;2;429;172785
5;6;48;0;374;1269;1269;1269;1;1;6;1;1964;1;308;155000
5;8;13;0;0;190;886;886;1;1;4;0;1938;1;273;91300
4;5;59;0;495;720;720;720;1;1;4;0;1940;0;0;34900
8;5;14;0;1231;3200;3228;3228;3;1;10;1;1992;2;546;430000
7;6;58;0;329;1026;1133;1820;2;1;8;0;1925;1;240;184000
5;7;5;89;450;864;899;899;1;1;5;0;1967;1;288;130000
5;7;22;0;111;912;912;912;1;1;5;0;1958;1;297;120000
6;5;34;285;356;672;672;1218;1;1;7;0;1973;1;264;113000
7;5;3;0;400;866;866;1768;2;1;7;0;2005;2;603;226700
5;7;42;0;698;1214;1214;1214;1;1;6;0;1965;2;461;140000
7;8;13;0;1247;1501;1801;1801;2;1;6;2;1959;2;484;289000
6;5;35;0;257;855;855;1322;2;1;6;1;1974;2;440;147000
5;5;57;360;0;960;960;1960;2;2;10;0;1952;2;400;124500
8;5;12;125;380;777;1065;1911;2;1;8;1;1993;2;471;215000
6;5;0;0;27;1218;1218;1218;2;1;4;0;2009;2;676;208300
7;9;3;0;141;689;689;1378;2;1;7;1;1928;2;360;161000
5;6;50;132;991;1041;1041;1041;1;1;6;0;1959;1;270;124500
5;7;9;70;650;1008;1363;1363;1;1;6;2;1951;1;288;164900
7;5;0;94;0;1368;1368;1368;2;1;6;1;2005;2;474;202665
5;5;48;0;521;864;864;864;1;1;5;0;1964;2;624;129900
6;5;24;0;336;1084;1080;1080;1;1;5;0;1983;2;484;134000
5;5;57;0;0;768;789;789;1;1;5;0;1926;1;200;96500
10;5;0;305;1436;2006;2020;2020;2;1;9;1;2009;3;900;402861
6;6;37;333;0;689;1378;2119;2;1;7;1;1972;2;583;158000
7;5;12;921;0;1264;1277;2344;2;1;7;1;1996;3;889;265000
6;5;9;0;706;794;882;1796;2;1;7;0;1998;2;546;211000
7;9;5;0;0;1276;1276;2080;1;1;9;2;1926;1;282;234000
4;7;8;0;0;0;694;1294;2;2;7;0;1926;0;0;106250
6;6;50;0;777;1244;1244;1244;1;1;6;2;1957;1;336;150000
6;7;56;0;399;1004;1004;1664;2;1;7;2;1950;2;420;159000
10;5;-1;762;2260;3138;3138;4676;3;1;11;1;2007;3;884;184750
7;5;10;594;719;1379;1383;2398;2;1;8;1;1996;3;834;315750
7;5;1;0;0;1257;1266;1266;2;1;6;1;2005;2;453;176000
5;7;7;0;377;928;928;928;1;1;4;0;1956;1;252;132000
9;5;0;268;1330;1452;1476;2713;2;1;11;1;2008;3;858;446261
4;7;5;0;348;528;605;605;1;1;5;0;1920;0;0;86000
6;3;32;0;1219;2035;2515;2515;3;2;9;2;1975;2;484;200624
6;5;19;219;783;1461;1509;1509;2;1;5;1;1988;2;600;175000
6;8;9;0;0;611;751;1362;2;1;6;0;1920;2;502;128000
5;7;3;0;0;0;827;827;1;1;5;1;1967;1;392;107500
1;3;57;0;0;0;334;334;1;1;2;0;1937;0;0;39300
8;5;2;0;0;707;707;1414;2;1;6;1;2004;2;403;178000
5;7;17;0;969;1117;820;1347;1;1;5;0;1916;0;0;107500
7;5;9;0;0;880;880;1724;2;1;8;0;1998;2;527;188000
4;5;36;0;600;864;864;864;1;1;5;0;1980;2;576;111250
5;5;38;188;673;1051;1159;1159;1;1;7;1;1968;1;336;158000
8;5;8;479;1358;1581;1601;1601;2;1;6;1;2001;2;670;272000
9;5;3;584;1260;1838;1838;1838;2;1;8;1;2006;3;765;315000
8;5;7;72;0;969;997;2285;2;1;8;1;2000;3;648;248000
7;5;10;0;144;1650;1680;1680;2;1;7;1;1998;2;583;213250
7;5;9;182;584;723;767;767;1;1;4;0;1998;1;367;133000
7;5;0;0;554;654;664;1496;2;1;7;1;2006;2;426;179665
7;5;18;178;1002;1204;1377;2183;2;1;9;0;1988;3;786;229000
6;7;57;0;300;1065;915;1635;1;1;6;1;1950;2;440;210000
5;7;37;0;619;768;768;768;1;1;5;0;1987;2;624;129500
5;7;13;0;180;825;825;825;1;1;4;0;1963;2;720;125000
7;5;5;0;0;912;912;2094;2;1;8;1;2003;2;615;263000
6;6;31;0;559;1069;1069;1069;2;1;4;0;1977;2;440;140000
5;6;51;0;308;928;928;928;1;1;5;0;1957;1;288;112500
8;5;3;250;0;1709;1717;1717;2;1;7;1;2006;3;908;255500
4;5;6;0;0;0;1126;1126;2;1;5;0;2002;2;520;108000
7;5;4;292;866;998;1006;2046;2;1;8;1;2003;3;871;284000
5;6;56;0;0;993;1048;1048;1;1;5;1;1922;1;280;113000
5;5;49;0;895;1092;1092;1092;1;1;6;1;1957;1;299;141000
4;6;56;0;637;637;897;1336;1;1;7;0;1994;1;570;108000
7;5;11;0;604;729;729;1446;2;1;6;1;1996;2;406;175000
7;5;2;18;0;1374;1557;1557;2;1;7;1;2003;2;420;234000
5;6;14;180;1302;1392;1392;1392;1;1;5;1;1957;2;528;121500
5;5;31;0;1071;1389;1389;1389;1;1;6;1;1975;2;418;170000
5;6;39;0;290;996;996;996;1;1;6;1;1914;0;0;108000
6;7;58;0;0;1163;1163;1674;2;1;8;1;1955;2;396;185000
7;5;6;0;728;1095;1166;2295;2;1;9;1;1992;2;590;268000
6;4;60;0;0;806;841;1647;1;1;6;0;1920;1;216;128000
9;5;1;245;0;1122;1134;2504;2;1;11;1;2005;3;656;325000
7;5;6;168;2;1517;1535;1535;2;1;7;0;2004;2;532;214000
8;8;0;0;1441;1496;1496;2132;1;1;5;1;1983;2;612;316600
5;5;27;0;943;943;943;943;1;1;4;2;1979;2;600;135960
5;5;43;108;231;1728;1728;1728;2;2;10;0;1987;2;576;142600
6;6;47;207;414;864;864;864;1;1;4;0;1959;1;288;120000
7;5;0;0;0;846;846;1692;2;1;6;0;2009;2;650;224500
7;5;7;0;0;384;774;1430;2;1;8;1;2000;2;400;170000
5;7;2;82;349;372;576;1109;1;1;5;0;1971;1;288;139000
5;5;58;0;442;832;832;1216;1;1;6;0;1947;1;336;118500
7;7;59;0;0;861;877;1477;2;1;6;1;1928;1;216;145000
5;6;40;97;328;1164;1320;1320;1;1;6;2;1966;2;564;164500
7;5;1;0;0;689;703;1392;2;1;5;0;2007;2;540;146000
5;5;54;335;0;1050;1050;1795;2;1;7;0;1954;1;352;131500
6;6;20;85;594;1144;1429;1429;1;1;7;2;1960;2;572;181900
8;5;0;306;0;2042;2042;2042;2;1;8;1;2009;3;1390;253293
6;5;17;104;816;816;816;816;1;1;5;0;1949;0;0;118500
10;9;8;0;0;1237;1521;2775;3;1;9;1;1988;2;880;325000
4;7;14;0;0;884;989;1573;1;1;6;0;1935;1;240;133000
8;5;0;208;1460;1868;2028;2028;2;1;7;2;2005;3;880;369900
6;7;8;0;210;816;838;838;1;1;5;0;1961;1;275;130000
5;6;27;0;672;840;860;860;1;1;4;0;1996;2;528;137000
5;8;6;0;1324;1437;1473;1473;1;1;5;2;1968;1;452;143000
5;6;48;0;0;742;779;935;1;1;4;0;1988;1;308;79500
7;5;4;0;490;770;770;1582;2;1;6;0;2004;2;520;185900
10;5;1;420;1338;1722;1728;2296;2;1;10;1;2008;3;842;451950
5;8;5;0;816;816;816;816;1;1;4;0;1985;2;816;138000
6;5;6;170;685;848;848;848;1;1;4;0;2003;2;420;140000
5;6;33;0;0;924;924;924;1;1;5;0;1981;1;280;110000
8;5;0;238;1422;1814;1826;1826;2;1;7;1;2005;3;758;319000
6;7;13;0;0;684;684;1368;1;1;7;0;1930;1;216;114504
7;5;0;72;0;1258;1402;1402;0;1;7;1;2006;3;648;194201
5;6;29;459;1283;1430;1647;1647;2;1;7;1;1977;2;621;217500
6;6;28;0;81;716;716;1556;2;1;6;1;1980;2;452;151000
8;5;1;280;546;1058;1058;1904;2;1;8;1;2003;2;736;275000
6;6;57;0;0;780;780;1375;1;1;6;1;1979;1;544;141000
8;5;14;0;789;908;927;1915;2;1;8;1;1992;2;506;220000
7;5;5;0;0;600;600;1200;2;1;4;0;2004;2;480;151000
7;5;6;99;922;1494;1494;1494;2;1;6;1;2002;2;530;221000
7;6;19;176;454;768;1186;1986;2;1;7;3;1965;2;486;205000
5;5;13;0;732;1040;1040;1040;1;1;6;0;2000;2;576;152000
5;8;4;0;603;896;1112;2008;3;1;8;0;1948;1;230;225000
8;6;9;0;428;965;1940;3194;2;1;10;2;1934;2;380;359100
4;5;46;192;903;1029;1029;1029;1;1;5;0;1961;1;261;118500
9;5;9;204;904;1440;1476;2153;2;1;8;2;2000;3;736;313000
6;6;29;233;605;1032;1032;1032;2;1;6;1;1978;2;564;148000
8;5;8;108;990;1299;1299;1872;2;1;7;1;2001;2;531;261500
5;5;0;0;206;1120;1120;1120;1;1;6;0;1976;0;0;147000
4;6;38;0;150;630;630;630;1;1;3;0;1962;0;0;75500
6;7;47;156;763;936;1054;1054;1;1;6;0;1963;2;480;137500
6;5;3;0;457;783;807;1509;2;1;7;1;2002;2;393;183200
6;6;54;0;0;832;832;832;1;1;4;0;1962;2;528;105500
9;5;0;452;48;1822;1828;1828;2;1;9;1;2007;3;774;314813
8;5;5;226;871;1482;1482;2262;2;1;10;2;2003;3;749;305000
3;3;58;0;41;864;864;864;1;1;5;0;1954;0;0;67000
6;7;11;0;956;1522;1548;2614;2;1;9;1;1974;2;624;240000
5;6;32;153;560;980;980;980;1;1;6;0;1986;2;484;135000
6;5;7;513;420;756;756;1512;2;1;4;1;2000;2;440;168500
6;5;34;288;247;732;1012;1790;1;1;8;1;1972;2;484;165150
6;6;48;261;0;1116;1116;1116;1;1;5;0;1962;2;440;160000
5;5;29;0;0;978;1422;1422;1;1;6;1;1960;1;286;139900
6;6;38;164;674;1156;1520;1520;1;1;7;2;1955;1;364;153000
5;5;38;192;650;1040;1040;2080;1;1;9;2;1969;2;504;135000
6;5;44;259;624;1248;1350;1350;1;1;6;0;1964;2;520;168500
5;6;15;0;0;636;1089;1750;1;1;8;0;1937;1;240;124000
8;5;1;108;24;1554;1554;1554;2;1;6;1;2006;2;627;209500
7;5;32;209;822;1386;1411;1411;2;1;6;1;1977;2;544;82500
5;7;2;0;480;1056;1056;1056;1;1;6;0;1954;1;260;139400
6;5;30;0;1056;1056;1056;1056;0;2;4;0;1980;2;576;144000
6;7;12;0;256;1440;1440;3395;2;2;14;0;1950;0;0;200000
2;3;59;0;0;264;800;800;1;1;4;1;1920;0;0;60000
5;4;55;0;0;811;811;1387;2;2;7;0;1954;1;256;93000
5;7;58;0;0;796;796;796;1;1;4;0;1954;0;0;85000
8;5;0;0;1154;1520;1567;1567;2;1;7;1;2006;3;648;264561
8;5;4;472;1218;1518;1518;1518;1;1;6;1;2003;2;588;274000
7;5;6;0;738;1057;1057;1929;2;1;7;1;2001;2;650;226000
8;7;14;0;1410;1952;2000;2704;2;1;9;3;1972;2;538;345000
5;5;38;263;493;780;780;1620;2;1;7;0;1969;2;462;152000
9;5;0;162;1121;1766;1766;1766;2;1;7;1;2009;3;478;370878
6;5;36;0;282;981;981;981;1;1;5;0;1979;2;576;143250
5;5;58;0;0;0;1048;1048;1;1;7;0;1950;2;420;98300
6;5;55;216;500;1094;1094;1094;1;1;5;2;1953;2;495;155000
6;5;44;351;0;756;1051;1839;1;1;7;1;1966;2;442;155000
4;6;37;0;131;630;630;630;1;1;3;0;1958;0;0;84500
7;6;1;0;0;813;822;1665;2;1;7;0;2007;2;562;205950
4;5;59;0;0;755;755;1510;1;1;7;1;1940;1;296;108000
7;5;13;0;0;880;909;1716;2;1;7;1;1996;2;512;191000
6;7;13;0;0;756;756;1469;1;1;7;0;1906;1;216;135000
8;6;13;660;1696;2109;2113;2113;2;1;7;1;1995;3;839;350000
6;5;39;381;0;525;525;1092;1;1;6;0;1971;1;264;88000
5;7;2;54;806;1053;1053;1053;1;1;5;0;1959;1;312;145500
7;6;8;0;0;776;851;1502;1;1;6;1;1931;1;270;149000
6;5;60;0;0;912;912;1458;1;1;6;1;1948;1;330;97500
5;7;10;0;637;1486;1486;1486;1;1;7;0;1968;2;480;167000
7;7;31;233;0;793;1142;1935;2;1;7;1;1976;2;550;197900
8;7;4;528;1361;1629;1686;2448;2;1;8;1;1994;3;711;402000
6;3;41;216;0;1392;1392;1392;1;1;5;2;1968;2;576;110000
4;5;36;0;920;1138;1181;1181;2;1;6;0;1974;2;588;137500
8;5;0;0;1721;2077;2097;2097;1;1;8;1;2005;3;1134;423000
8;5;6;40;0;1406;1454;1936;2;1;7;1;2000;2;504;230500
6;5;28;113;187;1021;1465;2380;2;1;7;1;1965;2;596;129000
6;5;10;258;1138;1408;1679;1679;2;1;7;1;1994;2;575;193500
5;6;19;0;988;1188;1437;1437;1;1;6;1;1999;2;576;168000
4;5;56;0;0;700;1180;1180;1;1;5;1;1922;1;252;137500
6;5;4;0;193;738;738;1476;2;1;7;0;2005;2;540;173500
6;6;59;0;551;672;697;1369;2;1;6;0;1930;1;300;103600
6;6;29;0;767;1208;1208;1208;1;1;6;1;1977;2;546;165000
6;7;3;106;1186;1477;1839;1839;2;1;7;2;1957;2;416;257500
6;6;43;0;892;1136;1136;1136;1;1;5;1;1965;1;384;140000
6;6;31;0;311;855;855;1441;2;1;7;1;1978;2;440;148500
4;2;56;0;0;1095;1095;1774;2;2;8;0;1920;3;779;87000
5;8;3;0;0;768;792;792;1;1;5;0;1924;1;240;109500
8;5;1;464;0;2046;2046;2046;2;1;7;1;2008;3;834;372500
5;5;46;57;827;988;988;988;1;1;5;0;1963;2;572;128500
6;5;30;0;543;923;923;923;2;1;5;1;1980;1;264;143000
5;5;9;0;182;793;848;1520;1;1;6;0;1968;1;281;159434
6;5;11;0;1003;1291;1291;1291;1;1;6;1;1996;2;431;173000
9;5;5;215;1059;1626;1668;1668;2;1;7;1;2002;3;702;285000
7;5;12;30;0;1195;1195;1839;2;1;7;0;1998;2;486;221000
7;5;23;0;828;1190;1190;2090;2;1;6;1;1984;2;577;207500
7;6;0;0;0;874;874;1761;3;1;7;0;2007;2;578;227875
7;5;3;0;239;551;551;1102;2;1;4;0;2004;2;480;148800
8;6;0;0;945;1419;1419;1419;2;1;7;1;2007;2;567;392000
6;5;1;256;20;1362;1362;1362;2;1;6;1;2005;2;460;194700
6;5;4;147;697;848;848;848;1;1;3;1;2004;2;420;141000
10;6;12;1170;1455;2444;2444;4316;3;1;10;2;1994;3;832;755000
7;5;16;293;965;1210;1238;2519;2;1;9;2;1989;2;628;335000
5;6;38;0;0;1073;1073;1073;1;1;4;0;1968;1;326;108480
5;6;59;0;0;927;1067;1539;1;1;5;0;1995;2;576;141500
6;6;19;72;980;1112;1137;1137;2;1;5;1;1987;2;551;176000
5;7;56;0;616;616;616;616;1;1;4;0;1921;1;205;89000
5;7;54;0;210;980;1148;1148;1;1;6;0;1952;1;308;123500
5;8;1;0;553;894;894;894;1;1;5;1;1973;1;336;138500
7;5;4;0;16;1391;1391;1391;2;1;5;0;2004;2;530;196000
8;5;4;630;1274;1800;1800;1800;2;1;7;1;2002;3;765;312500
7;5;37;168;0;1164;1164;1164;1;1;6;0;1969;2;528;140000
8;5;0;466;0;1234;1264;2576;2;1;10;1;2006;3;666;361919
5;9;14;0;0;360;1032;1812;2;2;8;1;1999;2;672;140000
7;5;5;109;712;1473;1484;1484;2;1;7;0;2004;2;606;213000
4;5;60;0;0;0;372;1092;2;2;7;0;1930;0;0;55000
7;5;5;351;1219;1643;1824;1824;2;1;5;2;1971;2;739;302000
8;5;3;176;863;1324;1324;1324;2;1;6;1;2006;2;550;254000
7;5;0;0;0;728;728;1456;2;1;8;1;2007;2;400;179540
5;7;42;41;0;876;904;904;1;1;6;0;1966;1;408;109900
3;6;5;0;0;270;729;729;1;1;5;0;1990;0;0;52000
4;7;60;0;0;859;859;1178;1;1;7;0;1964;1;384;102776
8;5;19;0;767;1228;1228;1228;2;1;5;1;1988;2;472;189000
4;5;36;160;789;960;960;960;1;1;6;0;1970;2;576;129000
6;8;5;289;533;725;725;1479;2;1;6;0;1976;2;475;130500
6;5;35;174;0;1064;1350;1350;2;1;7;1;1974;2;478;165000
7;8;9;0;0;718;1576;2554;1;1;8;0;1996;2;704;159500
5;6;8;0;1084;1176;1178;1178;1;1;5;1;1973;2;439;157000
7;5;14;651;1173;1311;1325;2418;2;1;9;1;1993;3;983;341000
5;6;37;0;523;971;971;971;1;1;5;1;1969;1;300;128500
8;5;21;0;1148;1742;1742;1742;2;1;5;1;1985;2;564;275000
6;5;6;169;662;848;848;848;1;1;3;0;2004;2;420;143000
4;7;39;0;191;864;864;864;1;1;5;0;1994;2;463;124500
4;6;36;0;0;941;997;1470;2;1;7;0;1958;1;548;135000
9;5;1;340;1234;1698;1698;1698;2;1;8;1;2007;3;768;320000
4;6;39;0;375;864;864;864;1;1;5;0;1989;2;660;120500
